pop_size,ensemble_size,mean_ms_sim_mean
5000,1,19596
5000,2,11954
5000,4,10044
5000,5,9804
5000,6,9346
5000,10,8669
5000,12,8441
5000,15,8190
5000,20,8048
5000,30,7889
5000,60,7733
