repetition,pop_size,ensemble_size,s_sim_mean
2,768,3,3.129
2,768,4,2.557
2,768,5,2.208
2,768,6,2.011
2,768,8,1.784
2,768,9,1.713
2,768,10,1.599
2,768,11,1.747
2,768,12,1.762
2,768,15,1.739
2,768,20,1.724
2,896,1,8.424
2,896,2,4.673
2,896,3,3.31
2,896,4,2.703
2,896,5,2.37
2,896,6,2.085
2,896,8,1.867
2,896,9,1.773
2,896,10,1.652
2,896,11,1.834
2,896,12,1.854
2,896,15,1.903
2,896,20,1.886
2,1024,1,9.313
2,1024,2,4.985
2,1024,3,3.648
2,1024,4,2.964
2,1024,5,2.51
2,1024,6,2.19
2,1024,8,1.976
2,1024,9,1.856
2,1024,10,1.695
2,1024,11,1.887
2,1024,12,1.932
2,1024,15,1.934
2,1024,20,1.913
