repetition, pop_size, ensemble_size, ms_sim_mean
0,5000,1,19596
0,5000,2,11954
0,5000,4,10044
0,5000,5,9804
0,5000,6,9346
0,5000,10,8669
0,5000,12,8441
0,5000,15,8190
0,5000,20,8048
0,5000,30,7889
0,5000,60,7733
