repetition,pop_size,ensemble_size,s_sim_mean
2,768,3,2.888
2,768,4,2.706
2,768,5,2.735
2,768,6,2.59
2,768,8,2.595
2,768,9,2.608
2,768,10,2.525
2,768,11,2.554
2,768,12,2.612
2,768,15,2.559
2,768,20,2.579
2,896,1,4.956
2,896,2,3.342
2,896,3,3.063
2,896,4,2.906
2,896,5,2.752
2,896,6,2.685
2,896,8,2.717
2,896,9,2.78
2,896,10,2.618
2,896,11,2.758
2,896,12,2.798
2,896,15,2.763
2,896,20,2.818
2,1024,1,5.15
2,1024,2,3.466
2,1024,3,3.022
2,1024,4,2.862
2,1024,5,2.584
2,1024,6,2.575
2,1024,8,2.572
2,1024,9,2.524
2,1024,10,2.426
2,1024,11,2.494
2,1024,12,2.486
2,1024,15,2.472
2,1024,20,2.54
